word,definition
Define the word:  vaccinogenic,producing vaccine
Define the word:  vacherin,sweet mixture of meringue and whipped cream
Define the word:  vacillate,fluctuate in opinion or resolution
Define the word:  vacive,empty
Define the word:  vacky,evacuee
Define the word:  vacuefy,to produce a vacuum
Define the word:  vacuist,one who holds that an absolute vacuum is possible in nature
Define the word:  vacuity,emptiness
Define the word:  vacuole,fluid-bearing cavity in organic tissue
Define the word:  vadable,able to be forded
Define the word:  vadelect,servant; serving-man
Define the word:  vade-mecum,ready reference manual regularly carried about
Define the word:  vadimony,bond or pledge given before a judge
Define the word:  vadose,of like or pertaining to underground water above the water table
Define the word:  vafrous,cunning; sly
Define the word:  vagant,roaming wandering
Define the word:  vagantes,wandering monk-scholars
Define the word:  vagarian,whimsical person
Define the word:  vagarish,of the eyes tending to roam
Define the word:  vagation,act of roaming or wandering
Define the word:  vagient,crying like a baby
Define the word:  vagile,having the ability to move about
Define the word:  vagility,ability to succeed in the struggle for existence
Define the word:  vaginate,sheathed; having a sheath
Define the word:  vaginula,little sheath
Define the word:  vagitus,baby's cry or wail
Define the word:  vagous,irregular unsettled
Define the word:  vagulate,to wander; to waver
Define the word:  vahana,mount or vehicle of an Indian deity
Define the word:  vahine,Tahitian adult woman or wife
Define the word:  vainglory,idle boastfulness
Define the word:  vair,blue-grey squirrel fur; heraldic representation of blue and white rows
Define the word:  vaivode,local ruler of multiple communities in southeastern Europe
Define the word:  valance,drapery hung along the edge of a bed table or canopy
Define the word:  valence,linen helmet-cover for armour
Define the word:  valenki,warm Russian felt boots
Define the word:  valentia,device for drawing wine or beer out of a cask
Define the word:  valentine,of birds to sing to a mate
Define the word:  valetaille,group of valets
Define the word:  valetudinarian,of like or pertaining to ill-health; anxious about health
Define the word:  valgus,club-footed; bow-legged
Define the word:  valienton,bully braggard
Define the word:  valiha,bamboo tubular zither used in Madagascar
Define the word:  vallate,having a raised rim or rampart; ringed
Define the word:  vallation,ridge or bank of earth used as fortification
Define the word:  vallecula,groove or furrow
Define the word:  vallidom,worth value
Define the word:  vallum,rampart; wall of earth thrown up from a ditch
Define the word:  valorise,to set a fixed arbitrary price
Define the word:  valse,dance in triple time; waltz
Define the word:  valuative,expressing a value or evaluation
Define the word:  valuta,comparative value of a currency
Define the word:  valvar,of or relating to a valve
Define the word:  valviform,shaped like a valve
Define the word:  vambrace,armour for the forearm
Define the word:  vamplate,plate fixed to spear or lance to guard the hand
Define the word:  vandelas,strong coarse canvas
Define the word:  vandola,stringed lute-like Spanish instrument
Define the word:  vandyke,to cut deep angled indentations into
Define the word:  vang,rope used to steady the gaff of the fore-and-aft sail
Define the word:  vangee,device for working the pumps of a ship
Define the word:  vaniloquence,vain or foolish talk
Define the word:  vanitarianism,pursuit of vain things
Define the word:  vanner,one who tests ore by washing it on a shovel
Define the word:  vansire,carnivorous South African ferret
Define the word:  vapography,effect of physical emanations on photographic plates
Define the word:  vaporary,collection of herbs used in a steam-bath
Define the word:  vaporetto,motorboat used in Venetian canals
Define the word:  vaporiferous,making steam or vapour
Define the word:  vaporiform,having the appearance of vapour
Define the word:  vaporimeter,instrument for measuring vapour pressure
Define the word:  vaporose,vaporizing easily
Define the word:  vappa,sour wine
Define the word:  vapulate,to flog; to be flogged
Define the word:  vapulatory,of like or pertaining to flogging
Define the word:  vaquita,small Pacific porpoise
Define the word:  vaquita,small porpoise living in the Gulf of California
Define the word:  vara,unit of linear measure of between 33 and 43 inches
Define the word:  varan,monitor lizard
Define the word:  vardingale,framework of hoops for a woman's skirts
Define the word:  vardle,bottom hinge of a gate
Define the word:  vardo,gypsy caravan
Define the word:  varec,seaweed; kelp
Define the word:  varia,miscellany
Define the word:  varicella,chicken pox
Define the word:  variegated,diverse and varied; having multi-coloured patches
Define the word:  varietal,of like or pertaining to a variety
Define the word:  varietist,unorthodox person
Define the word:  varifocal,of a camera having a variable focal length
Define the word:  variform,of various forms
Define the word:  varimax,method of statistical factor analysis
Define the word:  variola,smallpox
Define the word:  variometer,instrument for measuring magnetic declination
Define the word:  variorum,including the notes of earlier scholars or editors
Define the word:  variphone,one of two or more sounds used interchangeably by speakers of a language
Define the word:  varix,unusual dilation of an artery or vein
Define the word:  varna,caste system of Hindu society
Define the word:  varsal,whole; entire; universal
Define the word:  varsovienne,polka-like Polish dance
Define the word:  vartabed,Armenian clergyman
Define the word:  varus,pigeon-toed
Define the word:  varvel,metal ring attached to hawk's jess that connects to a leash
Define the word:  vas,hollow organ or tube that conveys liquid within the body
Define the word:  vasa,parrot variety native to Madagascar
Define the word:  vascular,of like or pertaining to fluid-carrying vessels
Define the word:  vasculature,arrangement of blood vessels
Define the word:  vasculiform,shaped like a small vase or flowerpot
Define the word:  vasculum,botanist's collecting case
Define the word:  vasifactive,producing small vessels in tissue
Define the word:  vasiferous,bearing a vessel or vas
Define the word:  vasiform,shaped like a duct or vase
Define the word:  vasotribe,instrument formerly used to stop bleeding
Define the word:  vastate,to make immune
Define the word:  vastation,purification through destroying evil elements
Define the word:  vastidity,vastness; a vast extent
Define the word:  vastrap,quick South African folk dance
Define the word:  vasy,slimy
Define the word:  vatic,prophetic; oracular; inspired
Define the word:  vaticide,killing or killer of a prophet
Define the word:  vaticinal,of or characterized by prophecy; prophetic
Define the word:  vaticinate,prophesy; predict
Define the word:  vaticiny,a prophecy
Define the word:  vau,sixth letter of the Hebrew alphabet
Define the word:  vauclusian,of a spring in which water is expelled by artesian pressure
Define the word:  vaulty,having the form of a vault
